"Id","Type","Module","Text"
"MSG131","Toast (Error)","Schedule Val","Mỗi buổi học phải kéo dài ít nhất 1 tiếng 30 phút (90 phút)"
"MSG132","Toast (Error)","Class - Manage","Không thể xóa lớp học: lớp đang có học viên tham gia"
"MSG133","Toast (Error)","Class - Student","Học sinh này đã tham gia lớp học này"
"MSG134","Toast (Error)","Class - Import","Học sinh with username '{user}' chưa có trong hệ thống."
"MSG135","Toast (Error)","Tuition - Calc","Chưa thiết lập đơn giá mỗi buổi học cho lớp này. Vui lòng thiết lập đơn giá trong trang Quản lý học phí."
"MSG136","Toast (Error)","Tuition - Calc","Lớp học chưa có học sinh nào. Vui lòng thêm học sinh vào lớp trước khi tính học phí."
"MSG137","Toast (Error)","Tuition - Unit","Lớp học chưa có đơn giá mỗi buổi. Vui lòng cập nhật đơn giá trong trang Quản lý học phí trước khi tính học phí."
"MSG138","Toast (Error)","Invoice - Manage","Hóa đơn đã tồn tại cho học sinh, lớp học và tháng này."
"MSG139","Toast (Error)","Invoice - Manage","Không thể hủy hóa đơn đã thanh toán."
"MSG140","Toast (Error)","Attendance","Chỉ được điểm danh trong ngày hôm nay"
"MSG141","Toast (Error)","Attendance","Buổi học chưa bắt đầu"
"MSG142","Toast (Error)","ASM - Create","File tải lên không được rỗng (0MB)."
"MSG143","Toast (Error)","ASM - Create","File bài tập này đã tồn tại trong buổi học này."
"MSG144","Toast (Error)","Submission","Bài nộp đã tồn tại"
"MSG145","Toast (Error)","Submission","Không thể cập nhật bài nộp vì nó đã được chấm hoặc công khai."
"MSG146","Toast (Error)","Zalo OA","Zalo OA chưa được kích hoạt cho trung tâm này."
"MSG147","Toast (Error)","Zalo OA","Token Zalo OA đã hết hạn và không thể làm mới."
"MSG148","Inline Error","Form Validation","Tên phải có ít nhất 3 ký tự"
"MSG149","Inline Error","Form Validation","Tên chỉ chứa chữ cái và khoảng trắng"
"MSG150","Inline Error","Form Validation","Email không hợp lệ"
"MSG151","Inline Error","Form Validation","Email này đã được sử dụng bởi học sinh khác"
"MSG152","Inline Error","Form Validation","Số điện thoại không hợp lệ (10-11 số, bắt đầu bằng 0)"
"MSG153","Inline Error","Form Validation","Vui lòng chọn khối"
"MSG154","Inline Error","Feedback Form","Vui lòng chọn danh mục."
"MSG155","Inline Error","Feedback Form","Vui lòng nhập tiêu đề."
"MSG156","Inline Error","Feedback Form","Nội dung phải có ít nhất 20 ký tự."
"MSG157","Inline Error","Feedback Form","Vui lòng chọn mức đánh giá."
"MSG158","Inline Error","Subject Form","Vui lòng nhập tên môn học!"
"MSG159","Inline Error","Assignment Form","Vui lòng chọn hạn nộp bài (hoặc lưu nháp)"
"MSG160","Inline Error","Class Form","Vui lòng điền đầy đủ thông tin cho tất cả các buổi học!"
"MSG161","Inline Error","Class Form","Có buổi học bị trùng lặp! Vui lòng kiểm tra lại lịch học."
"MSG162","Toast (Error)","Zalo OA","Tenant không tồn tại."
"MSG163","Toast (Error)","Zalo OA","Tenant chưa cấu hình Zalo OA."
"MSG164","Toast (Error)","Zalo OA","OA ID (App ID) trong cấu hình bị rỗng. Vui lòng cập nhật lại cấu hình."
"MSG165","Toast (Error)","Zalo OA","Secret Key trong cấu hình bị rỗng. Vui lòng cập nhật lại cấu hình."
"MSG166","Toast (Error)","Zalo OA","Chưa hoàn tất cấp quyền Zalo OA. Vui lòng bấm nút 'Cấp quyền' để ủy quyền qua Zalo."
"MSG167","Toast (Error)","Zalo OA","Token Zalo OA đã hết hạn và không thể làm mới. Vui lòng cấp quyền lại."
"MSG168","Toast (Error)","Zalo OA","Không thể kết nối đến Zalo API. Kiểm tra kết nối mạng."
"MSG169","Toast (Error)","Zalo OA","Zalo từ chối kết nối. Kiểm tra App ID, Secret Key và Redirect URI."
"MSG170","Toast (Error)","User - Manage","Tài khoản người dùng đã bị khóa."
"MSG171","Toast (Error)","User - Manage","Tài khoản người dùng đang hoạt động."
"MSG172","Toast (Error)","File - Upload","Không tìm thấy tệp đã chọn."
"MSG173","Toast (Error)","File - Upload","Tệp tải lên trống!"
"MSG174","Toast (Error)","Tenant - Sys","SubDomain không được chứa khoảng trắng."
"MSG175","Toast (Error)","Tenant - Sys","SubDomain chỉ được chứa chữ cái thường, số và dấu '-'."
"MSG176","Toast (Error)","Tenant - Sys","SubDomain đã tồn tại."
"MSG177","Toast (Error)","Tenant - Sys","Tên trung tâm đã tồn tại."
"MSG178","Toast (Error)","Staff - Manage","Tên đăng nhập đã tồn tại."
"MSG179","Toast (Error)","Staff - Manage","Email đã tồn tại."
"MSG180","Toast (Error)","Teacher - Del","Không thể xóa giáo viên: giáo viên đã được phân công lớp học."
"MSG181","Toast (Error)","Support Req","Không tìm thấy request."
"MSG182","Toast (Error)","Subscription","Không tìm thấy gói dịch vụ hoặc gói không còn hoạt động."
"MSG183","Toast (Error)","Subscription","Trung tâm này đã đăng ký gói này và vẫn còn hạn sử dụng."
"MSG184","Toast (Error)","Subscription","Gói '{name}' đã ngừng cung cấp. Vui lòng đổi gói khác."
"MSG185","Toast (Error)","Assignment","Bài tập này chưa mở"
"MSG186","Toast (Error)","Class - Init","Ngày bắt đầu không thể nằm trong quá khứ"
"MSG187","Toast (Error)","Class - Init","Trạng thái phải là Active, Inactive, Completed, Cancelled"
"MSG188","Toast (Error)","Schedule","Ngày trong tuần phải từ 0 đến 6"
"MSG189","Toast (Error)","Schedule","Giờ bắt đầu phải nhỏ hơn giờ kết thúc"
"MSG190","Toast (Success)","Material Management","Đã xóa tài liệu khỏi buổi học!"
"MSG191","Toast (Error)","Material Management","Không thể xóa tài liệu. Vui lòng thử lại."
"MSG192","Toast (Success)","ASM Management","Đã xóa bài tập khỏi buổi học!"
"MSG193","Toast (Error)","ASM Management","Không thể xóa bài tập. Vui lòng thử lại."
"MSG194","Toast (Success)","Library Import","Đã import {count} mục vào buổi học!"
"MSG195","Toast (Error)","Library Import","Lỗi khi import từ thư viện."
